NAME,EMAIL,PHONE
Michael Scott,michael.scott@dmpc.com,5551234567
Dwight Schrute,dwight.schrute@dmpc.com,5552145678
Jim Halpert,jim.halpert@dmpc.com,5553256789
Pam Beesly,pam.beesly@dmpc.com,5554367890
Ryan Howard,ryan.howard@dmpc.com,5555478901
Stanley Hudson,stanley.hudson@dmpc.com,5556589012
Phyllis Vance,phyllis.vance@dmpc.com,5557690123
Oscar Martinez,oscar.martinez@dmpc.com,5558701234
Angela Martin,angela.martin@dmpc.com,5559812345
Kevin Brown,kevin.brown@dmpc.com,5550923456
Toby Flenderson,toby.flenderson@dmpc.com,5551034567
Creed Bratton,creed.bratton@dmpc.com,5552145678
